ProductName,Price,Rate,Review,Summary
"Simple Trending PP Collapsible WardrobeÂ Â (Finish Color - Navyblue, DIY(Do-It-Yourself))",â‚¹549,4,Good quality product,Product is superb â˜ºï¸ but I didn't attached it yet. Cloth quality is good and the given rod is not so good but it's okay ðŸ™‚.
"Bhimada cloth stand rack shelf almirah PVC Collapsible WardrobeÂ Â (Finish Color - DarkBlue, DIY(Do-It-Yourself))",â‚¹700,4,Pretty good,I ordered for the first time like this but it was amazing good quality cloth and the best part is the storage go for ot worth buying ðŸ‘ðŸ‘
"FLIPZON Baby 6 Shelve Unbreakable Material PVC Collapsible WardrobeÂ Â (Finish Color - Pink, DIY(Do-It-Yourself))","â‚¹1,095",5,Must buy!,Very Nice Product with Great Material.Don't hesitate more . It's very good & very best material wise & quality wise very very good.
"Cosito 144 TC Cotton Double Floral Flat BedsheetÂ Â (Pack of 1, Multicolor)",â‚¹339,5,Highly recommended,Bright and vibrant print.... quality is also very good .....100% satisfied
"Yogini 144 TC Microfiber Double Geometric Flat BedsheetÂ Â (Pack of 1, Red)",â‚¹271,1,Terrible product,Dull colour and fabric quality low
"METRO LIVING 104 TC Cotton Double Animal Flat BedsheetÂ Â (Pack of 1, Pink)",â‚¹409,5,Must buy!,nice product of good quality and Better design I like peacock print very much
"Goodrik 140 TC Cotton Double 3D Printed Flat BedsheetÂ Â (Pack of 1, Brown)",â‚¹229,4,Delightful,It's a good product of flipkart. But color is not good Brown color verry light. Prise it's a good. Are cumuster try it. It's a good product.
"aniket 180 TC Polycotton Double Printed Flat BedsheetÂ Â (Pack of 1, Multicolor)",â‚¹228,5,Excellent,Very nice product I liked it very much nice quality and best in low price.everyone buy this
"Growing Decorishing 300 TC Polycotton Double 3D Printed Flat BedsheetÂ Â (Pack of 1, Red)",â‚¹258,5,Fabulous!,Very nice product
"CLOTHOLOGY 144 TC Cotton Double Printed Flat BedsheetÂ Â (Pack of 1, White, Yellow)",â‚¹329,5,Classy product,Very good pure cotton bedspread!loved the colour very much.Had good sleep !Felt rejuvenated!bright yellow hue and the soft fabric did the magic!go for it!
"Cosito 144 TC Cotton Double Floral Flat BedsheetÂ Â (Pack of 1, Red, White)",â‚¹339,5,Highly recommended,Bright and vibrant print.... quality is also very good .....100% satisfied
"Decorum 188 TC Polycotton Double Floral Flat BedsheetÂ Â (Pack of 1, Multicolor)",â‚¹229,3,Decent product,Colour same as shown in picture ðŸ˜ product is very attractive ðŸ¥°
"CLOTHOLOGY 144 TC Cotton Double Printed Flat BedsheetÂ Â (Pack of 1, Green)",â‚¹329,5,Classy product,Very good pure cotton bedspread!loved the colour very much.Had good sleep !Felt rejuvenated!bright yellow hue and the soft fabric did the magic!go for it!
"CLOTHSIDE 104 TC Cotton Double Jaipuri Prints Flat BedsheetÂ Â (Pack of 1, Blue)",â‚¹339,4,Good quality product,Nycc ðŸ‘ŒðŸ‘Œ
"RIAN Animal Single Mink Blanket for  Mild WinterÂ Â (Polyester, Brown, Grey)",â‚¹599,4,Good quality product,"I've been using it for less than a week and I'm happy with the product. The material is soft and the outer surface looks glossy. It's good for mild to moderate, Bangalore winters. It's especially just right for the current cool, rainy weather. For colder weather it's good to combine it with a cotton blanket (which I tried). That keeps you really warm and toasty. Haven't washed it yet. I may do an update once I've given it a wash. The one minor downside is that it slightly irritates my neck ..."
"SIE STORE Solid Single Comforter for  Mild WinterÂ Â (Microfiber, Maroon & Grey)",â‚¹901,3,Does the job,It's niceðŸ¤©
"LA VERNE Self Design Double Mink Blanket for  Heavy WinterÂ Â (Woollen Blend, Grey)",â‚¹549,5,Brilliant,"Very good product at this price point. Perfectly suitable in winter where the temperature falls at moderate level (Kolkata side). Light in weight and feels very comfortable when sleeping into it. In case you are looking for heavy winter blankets, then this is not your cup of tea. For that case I would suggest to purchase something more thicker than this."
"IWS Printed Double Mink Blanket for  Mild WinterÂ Â (Microfiber, Black)",â‚¹529,5,Highly recommended,"Awsome product i love it it's smooth and warm .go for it i highly recommend .in this low price range best product u can't buy anywhere not even in local shopping malls or other website.,"
"MAGICAL Floral Single Mink Blanket for  Heavy WinterÂ Â (Microfiber, Brown)",â‚¹499,5,Terrific purchase,very nice product.. smooth and soft.. love this product.. very warm ndd So Happy with this
"LA VERNE Floral Double Mink Blanket for  Heavy WinterÂ Â (Woollen Blend, Multi 2)",â‚¹549,4,Worth the money,Good
"LA VERNE Self Design Double Mink Blanket for  Heavy WinterÂ Â (Woollen Blend, Pink)",â‚¹549,5,Worth every penny,The product is good . I like its comfortable ness . And I am sleeping in this ðŸ¥°
"SPANGLE Printed King Mink Blanket for  Heavy WinterÂ Â (Microfiber, Maroon)",â‚¹840,5,Wonderful,super comfortable âˆš very soft âˆš Perfect Size âˆš Fabric Quality âˆš  Vibrant Colour âˆš  Full PointðŸ™‚
"Canon EOS 3000D DSLR Camera 1 Camera Body, 18 - 55 mm LensÂ Â (Black)","â‚¹30,999",5,Must buy!,Good oneBest for beginner photographsNot recommend for videography because it is not good for videography or vloging porpes it is heavy and bulky.So if you're priority is photography it's a nice and value for money product.
Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1400 CMH),"ƒ??13,999",1,Utterly Disappointed,Poor suction and too much noise. Would be better if I bought a some other.
Faber Hood Mercury Pro HC SC FL BK 60 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1200 CMH),"ƒ??9,990",5,Awesome,Good gesture and very silent at top fan speed and installation is well done bye Mr fareed... He is best for chimney installation.
Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1350 CMH),"ƒ??14,299",4,Worth the money,Everything is okay expect the engineer's charge . Why I am saying that because fitting of this chimney just require hardly 5 to 10 minutes . He just put 3 screw in the wall then just some demo of this product . he chrages 1000 rs ..it is not worth of money ...you can fit this by yourself it is so easy ...
Whirlpool CLASSIC CF 60 BK HOOD 60 cm 750 m??/hr Wall Mounted Chimney?ÿ?ÿ(Black 750 CMH),"ƒ??5,298",4,Good choice,Ok
Eurodomo Hood Indigo PRO HC SC FL BK 60 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1200 CMH),"ƒ??7,599",5,Woww Product...,Excellent chimney with good features and less price.Pros:1. Auto clean and filterless technology. No need to poor any hot water for cleaning.2. Good suction power3. Good looking.4. Motion sensor feature is awesome. Gestures working pretty well.5. Installation  material provided inside the box.6. Provides Sufficient lighting for cooking.7. Less price compared to other brands with same features.8. Installation is done next business day and process was smooth.Cons:1. Flipkart wont p...
Glen ISPA 90 BL Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1050 CMH),"ƒ??11,999",5,Brilliant,Glen service very good in Coimbatore Same day fitting.... Chimney working awesome
Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),"ƒ??14,299",4,Worth the money,Everything is okay expect the engineer's charge . Why I am saying that because fitting of this chimney just require hardly 5 to 10 minutes . He just put 3 screw in the wall then just some demo of this product . he chrages 1000 rs ..it is not worth of money ...you can fit this by yourself it is so easy ...
RBGIIT Silicon Dish Washing Gloves For Kitchen Scrubbing Pet Grooming Car Bathroom Wet and Dry Glove SetÂ Â (Medium Pack of 2),â‚¹169,5,Terrific,Wonderful product thank-you flipcart
"Flipkart SmartBuy Bucket Spin Mop Floor Cleaning and Mopping System2 Microfiber Refills,Aqua BLUE Mop, Bucket, Mop Set",â‚¹619,5,Awesome,Such a wonderful product â˜ºï¸ Easy to clean.Spin mop ultimate. Loved it and Thank u so much
UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Flat MopÂ Â (Green),"â‚¹1,298",5,Must buy!,Very nice product
"RBGIIT Latex Rubber Pink Special Dish Kitchen Platform Washing,Home Bathroom Garden Other Type Of Safety Uses Sanitation Fashion Protective Home Kitchen Cleaing Gloves For Women And Girls 1 Pair Latex, Rubber Safety Gloves New Latest Corean Design Latex Red Reusable Rubber 1 Pair (2 Pieces) Hand Careing Long Sleeve Waterproof Safety Hand Gloves, Cleaning Gloves, Household / Bathroom Cleaning / Kitchen Platform Washing Washable Cloth Washing Good Quality Free Size Soft Scrubbing Dish washing Plate Dishes Pet Grooming Unique Multi Use Cleaning Garden And Bath Safety Industrial Heat And chemical Daily Uses Clean Gloves Wet and Dry Glove SetÂ Â (Medium Pack of 2)",â‚¹169,1,Don't waste your money,Poor quality use in only two days and product broken by water
Flipkart SmartBuy 360Â° Spin Blue Bucket Mop Set with single Microfiber Refill Mop Set,â‚¹545,4,Worth the money,good sturdy material and good price but what about refills for the mop where do we get to buy  the same mop  refill separately from the same company what i mean the refill mop should match the mop stick which is quite sturdy enough pls update about matching refill mops and their prices
"UPC Upgraded Hands Free Squeeze Microfiber Flat Spin Mop 360Â° Flexible Head - Green Mop Set, Bucket","â‚¹1,260",5,Must buy!,"A  true blessing in disguise!!A far better mop then those round oversize bucket mops. Quite a compact & sturdy mop. After using it for a week , I would definitely recommend it to everyone.The best part umis, if by nechance , u r not in a mood to clean ur floor with broom then use it directly. It collects all kind of dirt n pushes it in corner. My house floor r smiling back with use of  this flat mop ðŸ˜‡"
Tomex Grey Plastic Broom HolderÂ Â (5 Holders),â‚¹399,1,Utterly Disappointed,Not holding property wast of money don't buy
DaduGirase Cleaning Brush Feather Microfiber Duster with Extendable Rod Dust Cleaner Wet and Dry Duster,â‚¹270,5,Awesome,Good quality
UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,"â‚¹1,233",5,Awesome,"A must buy product! When compared to round mop, this is excellent and makes the job easy. The idea is brilliant and microfiber pads are very easy to clean and dries faster. One of the best choice to go for flat mop. Easily fits under fridge, sofa, computer table and cleans the floor absolutely neatly. Thank you UPC and Flipkart for bringing us this product!"
Spotzero by Milton Prime Mop With Big Wheels Bucket,"â‚¹1,299",2,Expected a better product,"This review is after use of many months. Firstly biggest issue is mop rod rotating action. It is of worst quality. There is thread slipping while trying to spin and clean mop. Thus not able to perform basic action keeping mop dirty. Making product useless and troublesome to use. 2 star given only for bucket plastic quality which is good. Mop absorption is average, steel bucket average, bucket handle very weak so of no use. Overall bad quality product. Don't go by brand Milton. Do not buy it."
"Scotch-Brite Sponge WipeÂ Â (Large, Pack of 3)",â‚¹189,5,Terrific,"Before buying i always thought its waste of money , but believe me its not , its very good in absorbing liquid and when we need immediately someething in kitchen to clean , it will always help full .Very easy to clean and we can use it immediately after its wash ."
"Tankit 360 degree Spin Mop With 6 Refills, Durable Bucket With Extendable Handle- For Perfect Cleaning Mop Set, Mop Mop, Bucket, Mop Refill",â‚¹799,5,Mind-blowing purchase,One of my best purchase superb quality and best colour must buy ... Loved it ðŸ¥³ðŸ˜
Spotzero by Milton Prime Spin Mop,"â‚¹1,299",5,Wonderful,Nice product I just love it .  I am Happy. Flipkart always gives the best product to their customers . Thank you flipkart. ðŸ˜ŠðŸ˜ŠðŸ˜ŠðŸ˜€ðŸ˜€ðŸ˜€ðŸ¤—ðŸ¤—ðŸ¤—ðŸ™‚ðŸ™‚ðŸ™‚â˜ºâ˜ºâ˜º
Omi Cart 2 in 1 Floor Brush Scrubber with Long Handle PlasticÂ Â (Green),â‚¹299,5,Just wow!,Product is amazing and usefull and Lovely product
"Qozent Hand Gloves For Kitchen Dish Washing Combo- Reusable Rubber Silicon Household Safety Wash Scrubber Heat Resistant Kitchen Gloves for Dish washing, Cleaning, Gardening Wet and Dry Glove hand gloves for kitchen (Multicolour, 1 Pair, free size) Dry Disposable GloveÂ Â (Small)",â‚¹199,5,Worth every penny,"Best product . I like this . This is very useful for cleaning vessels,and the material is also good"
Sheen Wet and Dry Microfiber Cleaning ClothÂ Â (10 Units),â‚¹269,5,Classy product,Good Product as expected... Microfiber Cloth works well on both dry and wet surfaces ..Happy with the Product received .. Thank you Sheen ðŸ˜ðŸ˜
"SAISWAR OXO Bio deagradable Dustbin garbage cover medium pack of 3 (19X21)inch black Plastic DustbinÂ Â (Black, Pack of 3)",â‚¹176,5,Wonderful,Product good but very thin
AOQ Cleaning Brush Feather Microfiber Duster with Extendable Rod Dust Cleaner Fit Ceiling Fan Car Home Office Cleaning Tools Wet and Dry Duster,â‚¹299,5,Perfect product!,To good product value for money It is very flexible you can clean any corner in your house even a small space . The handle is to good and very long it can reach high corners also like fans .
DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,â‚¹199,5,Great product,Thanks flipkart.......very soft duster.... i am so happy
Allwin Home Cleaning 360Ã‚Â° Spin Floor Cleaning Easy Advance Tech Bucket PVC Mop & Rotating Steel Pole Head with 2 Microfiber Refill Head Mop Set Mop Set Mop Set,â‚¹699,1,Not recommended at all,very poor quality and installing time part is break.
liger Dust Cleaning Mop Brush Wet Duster,â‚¹295,4,Delightful,Good
"Trend TE-Magic Silicone Dish Washing Gloves, Silicon Cleaning Gloves, Silicon Hand Gloves for Kitchen Dishwashing and Pet Grooming Set (Free Size 1 PAIR) (BLUE) Wet and Dry GloveÂ Â (Free Size)",â‚¹222,5,Excellent,"Really These are Awesome.:As our servent is very happy to have these silicone vessel washing gloves.she said , they very supportive& comfortable to  her hands while washing Utensils.  Our servent  said that ,now IT IS LOT EASIER TO CLEAN THE DISH  FOR ME NOW THAN IT WAS BEFORE. I ALSO FEEL SAFE ..."
F8WARES 16inch Reusable Dishwashing Industrial Gardening Cleaning Rubber Hand Gloves Wet and Dry GloveÂ Â (Large),â‚¹299,5,Classy product,Nice products ...and very nice quality of this product
RIYUZONE Silicone Body Scrub Belt And Mild Exfoliator Scrub PadÂ Â (Medium),â‚¹149,1,Very poor,The worst item in flipkart
CREZON Magic Dry Bucket Mop - 360 Degree Self Spin Wringing With 3 Super Absorbers for Home & Office Floor Mop SetÂ Â (Multicolor),â‚¹799,5,Mind-blowing purchase,"Loved the product, didn't expected it to be so good , the quality is good, worth the price and the price is so affordable . The delivery boy was gentle and was polite"
Diem RUNWET 360Â° Spin Floor Cleaning Easy Advance Tech Bucket PVC Mop & Rotating Steel Pole Head with Wheels 2 Microfiber Refill Mop Set,â‚¹681,1,Very poor,Bad  product. Small in size. Poor quality
"TITIRANGI Pack of 12) Multipurpose Kitchen Roti Napkin/Cloth, Table Duster Wiper Cleaning Cloth Set of 12 Pcs Multicolor Wet and Dry DusterÂ Â (Pack of 12)",â‚¹279,3,Just okay,Average  quality.
"Sheen multicolour,30cmX40cm,250GSM Dry Cotton Cleaning ClothÂ Â (12 Units)",â‚¹507,5,Mind-blowing purchase,NICE AND GOOD
GADGETWEAR Multipurpose Microfiber Magic Fan Cleaning Brush with Long Rod for car Home Wet and Dry Duster,â‚¹249,5,Very Good,Nice product ðŸ˜€ðŸ˜€thank u filpkart
Scotch-Brite Twin Bucket Mop,"â‚¹1,099",4,Value-for-money,"It is good enough however, not the best as it does its job but have its limits. Have used same brand higher priced model mop so can say not very sturdy. Plastic body of the bucket makes it  light weighted thus is good enough for a small apartment or flat Terrace/ balcony patio areas. Mop head fiber are of good quality and should last long simply can't say the same for its handle rod though. Overall good purchase for the price we paid and due to no availability of other versions of the same br..."
"Flipkart SmartBuy Wet Kitchen Cleaning Cloth Environmentally Friendly Sponge Cloth Wet Microfiber, Sponge Cleaning ClothÂ Â (5 Units)",â‚¹190,5,Worth every penny,It's amazing qulitey product Thank you flipkart always my favourite & given best discounted price and Dell Iam happy customer .I will prefer ever one to by anyproduct here is great platform you can easy trust flipkart it safe and good
"CREZON EXCLUSIVE House Hold cleaning bucket mop set combo with 3 Refills and 6 Different Accessories, 360 Degree Self Spin Wringing Magic Bucket Mop Cleaning Wipe, Cleaning Brush, Cleaning Cloth, Bucket, Duster, Floor Wiper, Glove, Kitchen Wiper, Mop, Mop Refill, Scrub Pad, Mop Set",â‚¹999,5,Wonderful,Nice product thank you flipkart
"SQUICKLE Magic Silicone Dish Washing Gloves, Silicon Cleaning Gloves, Silicon Hand Gloves for Kitchen Dishwashing and Pet Grooming, Great for Washing Dish, Kitchen, Car, Bathroom (1 Pair) Wet and Dry Glove (Large) Wet and Dry GloveÂ Â (Large)",â‚¹199,5,Worth every penny,Good
"Scotch-Brite Silver Sparks Scrub PadÂ Â (Regular, Pack of 3)",â‚¹263,3,Fair,"Don't really understand the purpose of those ""silver sparks"". Those silver sparks begin to fall off the moment you take it out of the packaging and it's completely gone within the first day of use. Otherwise, it does it's job. Has a reasonable life."
DDARSH ENTERPRISE Wet and Dry Duster Set,â‚¹246,4,Worth the money,Need to mention origin of country. We need made in India only.
Sheen Microfiber cleaning cloth pack of 6 Dry Cotton Cleaning ClothÂ Â (6 Units),â‚¹251,5,Great product,Great product loved it . Clean my car perfectly. In first I was bit scared but after receiving the product I am pretty satisfied . Great product at best price
Donizard store Wet and Dry Glove SetÂ Â (Free Size Pack of 2),â‚¹193,1,Worst experience ever!,"Don't buy it ,wastage of money ,got torn In one use onlyVery poor quality No refund policyNever buy it"
Green Home Reusable Latex Hand Gloves for Kitchen Black Wet and Dry GloveÂ Â (Free Size),â‚¹158,4,Nice product,good  product  .quality good.  Very comfort. Size is accurateðŸ‘ŒðŸ‘ŒâœŒ
Spotzero by Milton RefillÂ Â (Grey),â‚¹289,5,Must buy!,It's good product... fits all companies mop equipment... Material is very good.. and value for money..
Scotch-Brite Plastic Dry BroomÂ Â (Green),â‚¹375,3,Nice,The product build quality is good but it has bigger plastic strands. The sweeping experience is not same as normal broom. Suggest to have thinner fibres for better sweeping effect
"Flying monk Reusable Rubber Silicon Household Safety Wash Scrubber Heat Resistant Kitchen Gloves for Dish washing, Cleaning, Gardening Wet and Dry Wet and Dry GloveÂ Â (Free Size)",â‚¹226,4,Good choice,"My mom has soap allergy. So I have ordered this my seeing so many reviews and ratings. Material was damn good,no holes nothing,perfect product came. I tried cleaning vessels. I felt normal n very comfortable.not a single drop of wtaer touch to our hands. But the only thing is when we clean vessels with water, our gloves also have some of it. So 1st we have clean the soap from gloves then clean the vessels. And I felt doubt if the soap foam is stil remaining on our vessels.overal good"
CEAT Hitman Full Size Double Blade Poplar Cricket Bat - Advance Play Poplar Willow Cricket  BatÂ Â (1.2 kg),â‚¹329,5,Worth every penny,Outstanding bat!!!!!ðŸ‘ðŸ‘ðŸ‘ Stickers are so clear and of good quality and no cracks on the bats... and also fast delivery ðŸ‘ðŸ» THANKS FLIPKART ðŸ˜€ðŸ‘ðŸ»ðŸ‘
HF MRF GRAND EDITON VK-18 ( Ideal For 15-21 Years) Hard Plastic bat for tennis ball PVC/Plastic Cricket  BatÂ Â (800-900 g),â‚¹425,5,Highly recommended,Very niceWorth for manyBetter bat qualityComfortable to handleThanks you Flipkart
SportSoul Cotton Gym & Athletic Abdomen SupportÂ Â (Blue),â‚¹249,4,Worth the money,The product was fabulous and it was fit and fine and the delivery was also too fast thanks and keep it up.........
MRF (SIZE-6) TANNIS WOODEN KASHMERI POPULER WILLOW Poplar Willow Cricket  BatÂ Â (0.3 kg),â‚¹302,5,Must buy!,Excellent product
VICTORY Medium Weight ( Pack of 1 ) Rubber Cricket Tennis Ball Cricket Rubber BallÂ Â (Pack of 1),â‚¹59,5,Terrific,Very nice product ðŸ‘ŒðŸ‘
"ArrowMax Professional Anti-slip Fitness (Black , pack of 2 ) Easy comfort Wrist SupportÂ Â (Black)",â‚¹245,5,Terrific purchase,it's very very comfortable and good sweat proof and easy to wash it . i really love this
VICTORY Cricket Wind Ball (Pack of 1) - Made in India Smooth Cricket Cricket Synthetic BallÂ Â (Pack of 1),â‚¹79,5,Terrific purchase,Nice product the ball is very nice and it is very swing ball type best ever ball by this price.
Rixen Cricket Net 20x10 Feet Cricket NetÂ Â (Blue),â‚¹349,5,Highly recommended,Much better than what i bought from open market. Worth its price. Plastic rope support all over is very handy for installation.
"SportSoul Cotton Gym & Athletic Abdomen SupportÂ Â (Grey, Blue)",â‚¹449,4,Nice product,"Nice quality , good product ..."
"SportSoul Cotton Gym & Athletic Abdomen SupportÂ Â (Grey, Black)",â‚¹249,4,Worth the money,The product was fabulous and it was fit and fine and the delivery was also too fast thanks and keep it up.........
the indian casa Cricket Net 10x20 Feet Nylon Cricket Boundary And Practice Net (Green) Cricket NetÂ Â (Green),â‚¹340,4,Nice product,It's a liked product.not bad so ok..
VICTORY Heavy Plastic Cricket Stumps SetÂ Â (Blue),â‚¹299,5,Must buy!,Nice product good build quality . Go for it your child will be happy .
LURAGS Diamond natural brown set of 6 stumps with bailsÂ Â (Brown),â‚¹469,5,Simply awesome,Very good product
SportSoul Thumb Wrap Wrist SupportÂ Â (Grey),â‚¹199,5,Best in the market!,I thank this product manufacturer for good design and satisfying quality of it's material & it works out well.-C.Sridhar
SportSoul Cotton Gym & Athletic Abdomen Support,â‚¹599,5,Must buy!,Nice
HF MRF GRAND Edition VK - 18 Full Size ( Ideal For 15-21 Years ) Complete Cricket Kit,"â‚¹3,699",5,Super!,Super Products Very nice Good Bat English willow Bat nice products for this amount ðŸ”¥ðŸ”¥
"SportSoul Cotton Gym & Athletic Abdomen SupportÂ Â (Black, Blue)",â‚¹449,4,Nice product,"Nice quality , good product ..."
TYF CRICKET BAT POPLAR WILLOW FULL SIZE CRICKET BAT Poplar Willow Cricket Bat Poplar Willow Cricket  BatÂ Â ((900-1000 g) g),â‚¹520,1,Waste of money!,Very bad quality Plz do not purchase this product
"Ostrich HARD PLASTIC CRICKET COMBO PACK FOR 8 YEARS JUNIOURS( 1 BAT SIZE 3, WICKET 24'' INCHES , 1 BALL) Cricket Kit",â‚¹409,4,Good choice,Good Product ! My Small Brother Is Playing Well And He Was Very Happy With This Product Very Good Quality At This Price ! â˜ºï¸
MRF ENDORSED | for Light/Hard Tennis Ball [with Cover] | Full Size (SH) Natural Poplar Willow Cricket  BatÂ Â (1000-1200 g),â‚¹499,5,Wonderful,The Bat is very nice and it is good for hitter who loves to hit six and it is also good for 14year old boys I love it thank you flip kart ðŸ‘ðŸ‘ðŸ˜
"Home Sizzler 214 cm (7.02 ft) Polyester Semi Transparent Door Curtain (Pack Of 2)Â Â (Floral, Brown)",â‚¹399,4,Good choice,nice product but should have been thick then would have been more better ...during day time doesn't prevent heat... but yes still good product for better design...
"Urban Home 214 cm (7.02 ft) PVC Transparent Door Curtain Single CurtainÂ Â (Solid, Off White)",â‚¹199,5,Classy product,Nice product
"Home Sizzler 153 cm (5.02 ft) Polyester Room Darkening Window Curtain (Pack Of 2)Â Â (Floral, Brown)",â‚¹299,4,Good choice,nice product but should have been thick then would have been more better ...during day time doesn't prevent heat... but yes still good product for better design...
JDX Polyester Fibre Solid Cushion Pack of 5Â Â (White),â‚¹448,5,Mind-blowing purchase,Loved it.
Embroco Polyester Fibre Solid Cushion Pack of 5Â Â (White),â‚¹599,5,Best in the market!,Good quality
LA VERNE Microfibre Stripes Cushion Pack of 5Â Â (White),â‚¹449,5,Brilliant,excellent in quality.very nice and soft just like in image.branded it is just looks like in pic.very happy to buy this.thanks Flipkart.
PF With Pickfully Cotton Solid Chair Pad Pack of 2Â Â (Blue),â‚¹160,4,Very Good,Nice product go for it
Prerana Microfibre Solid Cushion Pack of 5Â Â (White),â‚¹258,1,Very poor,"These cushions are not as shown. They are black instead of white, smallers in size and not at all soft. I feel cheated!"
Flipkart SmartBuy Microfibre Stripes Cushion Pack of 5Â Â (White),"â‚¹1,259",1,Unsatisfactory,Not that much satisfying product cost is too high and side pillows are very small I didn't recommend this product to buy.i think this a Flipkart product  and like branded type but nope.i think road sided pillows are much better than this..
LA VERNE Microfibre Stripes Cushion Pack of 3Â Â (White),â‚¹379,5,Brilliant,excellent in quality.very nice and soft just like in image.branded it is just looks like in pic.very happy to buy this.thanks Flipkart.
"LEADER TORFIN 26T MTB Bicycle without Gear Single Speed with FS DD Brake 26 T Mountain CycleÂ Â (Single Speed, Black, Green)","â‚¹6,499",5,Best in the market!,"Excellent product. Nice look, easy to assemble. Build quality great. I recommend everyone to purchase it."
"LEADER Scout 26T SEA Blue BLACK for Ride 26 T Mountain CycleÂ Â (Single Speed, Blue, Black)","â‚¹4,499",4,Value-for-money,Lookwise it is beautiful ðŸ˜ along with wheel and tire quality is pretty good in this range.I am satisfied with this.
"vesco Kiddo 14"" Cycle for Kids Bicycles age 3 to 5 Year Boys & Girls 14 T BMX CycleÂ Â (Single Speed, Blue)","â‚¹3,295",5,Must buy!,Good design and all parts is best
"Lifelong Falcon 26 T with Disc Brake and Suspension , Matte Black 26 T Road CycleÂ Â (Single Speed, Black)","â‚¹8,999",4,Good choice,Overall good bicycle.
